,keyword,view,menu,checkout,order
0,fried spring rolls,37816,11185,3882,153
1,spring rolls,8977,2903,1453,143
2,crispy spring rolls,11922,3604,1627,147
3,egg rolls,9587,1879,1130,75
4,fried lumpia,32437,9716,3036,233
5,popiah goreng,35553,12272,7363,269
6,lumpia,25878,5232,3478,338
7,lumpia goreng,29424,6052,3930,286
8,chả giò,4375,1205,733,71
9,lumpiang shanghai,8009,2295,1556,101
10,vietnamese spring rolls,16090,3490,2255,161
11,thai spring rolls,38880,15481,9078,796
12,popiah,8492,2586,882,60
13,fried popiah,44692,8338,4236,278
14,spring roll snack,13921,2181,903,64
15,vegetable spring rolls,21241,6154,4076,148
16,mini spring rolls,37295,14324,8455,761
17,lumpia philippines,39264,9410,5284,211
18,fried roll',45170,15922,7630,704
19,lemon pepper wings,11417,1726,506,38
20,chicken wings,6691,1407,797,62
21,lemon wings,5940,2059,1199,45
22,wings 6 pcs,19559,5053,2028,113
23,spicy wings,5120,1929,1250,44
24,ayam lemon lada,46138,16290,5210,446
25,lemon pepper ayam,27077,10053,6837,569
26,cánh gà sốt chanh tiêu,40187,11896,4515,266
27,lemon chicken wings,21284,7725,3561,302
28,fried wings,9134,3227,2056,158
29,buffalo wings,38686,7245,2092,183
30,hot wings,29173,7155,3285,147
31,garlic wings,45345,14924,7350,388
32,honey wings,13619,3574,1183,96
33,chicken wing snack,34720,8499,4093,241
34,ayam goreng lemon,15069,4638,1328,108
35,6 wings,11381,4025,2604,221
36,sayap ayam lemon,35597,6300,3334,174
37,crispy wings',36189,13326,5897,321
38,general tso’s chicken,3291,1271,420,22
39,general tso chicken,18594,3780,1734,165
40,sweet spicy chicken,2093,616,382,18
41,chinese chicken,45939,17135,11108,1105
42,ayam general tso,6298,1634,727,35
43,ayam manis pedas,45835,14030,5067,270
44,gà sốt Tso,33337,7731,2069,184
45,general chicken,41548,6380,1683,110
46,chicken with sauce,27821,10804,4297,378
47,kung pao chicken,36107,8796,2298,141
48,tangy chicken,8448,2621,1621,115
49,general tsao,46287,13164,5529,339
50,tso’s chicken,47311,11324,6487,360
51,general sauce chicken,16150,3358,1911,87
52,chinese takeout chicken,4935,1736,555,23
53,ayam saus manis,44017,15065,7983,461
54,ayam saus pedas,25827,5321,3271,244
55,general tso,6440,2496,1671,115
56,bacon wrapped dog,44805,14960,6206,469
57,hot dog bacon,24541,6548,2676,159
58,bacon hotdog,45679,8445,3051,292
59,bacon sausage,18369,4294,1082,95
60,hotdog gulung bacon,4767,1197,646,51
61,hotdog balut ng bacon,36355,6390,1790,151
62,sosis gulung bacon,45578,15551,7635,509
63,hotdog wrapped in bacon,48195,9826,6165,473
64,bacon frank,33236,9018,2828,173
65,bacon hot dog,21233,7806,3066,288
66,bánh mì xúc xích cuộn thịt xông khói,32096,7123,3731,271
67,hotdog snack,44152,13910,7765,726
68,sausage bacon wrap,22912,6564,2133,160
69,street food hot dog,24874,9296,4294,356
70,frankfurter bacon,10040,1506,1035,102
71,grilled hot dog bacon,35811,9354,3175,174
72,bacon cheesy dog,7610,1173,319,23
73,kulfi,47346,18267,6169,559
74,indian ice cream,27914,5215,1623,101
75,pistachio kulfi,45750,13649,5790,433
76,mango kulfi,25444,5757,2058,134
77,malai kulfi,16522,5327,3443,240
78,matka kulfi,18322,5054,1576,106
79,homemade kulfi,43177,12645,3795,180
80,kulfi stick,31723,9138,3579,343
81,ice cream bar kulfi,28033,5700,3322,151
82,kulfi india,24480,9311,6294,601
83,kulfi dessert,43510,16794,5814,395
84,ice cream india,13337,4312,1776,131
85,kulfi ais krim,34474,6522,4330,173
86,ais krim india,6767,2574,1131,57
87,kulfi sejuk,27447,5895,3658,181
88,kulfi susu,48999,16356,5401,267
89,indian dessert,28152,8613,5013,329
90,fried fish sandwich,49558,16399,8751,653
91,fish sandwich,33779,13156,6509,504
92,crispy fish sandwich,4080,1385,793,78
93,fish burger,15628,3526,1992,153
94,ikan sandwich goreng,6668,1125,433,29
95,fish fillet sandwich,28080,4779,1773,103
96,fish sammie,26257,6896,2908,139
97,sandwich ikan,41793,6882,4083,317
98,bánh mì cá chiên,43171,11437,3042,156
99,fish bun,10490,2886,925,44
100,ikan goreng sandwich,31883,4897,2988,101
101,sandwich ikan goreng,46816,14093,4283,173
102,ikan goreng roti,33386,11776,4992,382
103,fishwich,16961,3750,1283,82
104,tartar sandwich,48476,11212,3308,187
105,fried fish bun,35200,10968,5282,506
106,fish filet sandwich,5610,1599,882,86
107,ikan burger,9468,1736,1204,100
108,garlic naan,11743,4164,1949,150
109,naan garlic,23237,8904,4456,355
110,roti naan,34846,6207,4210,385
111,roti bawang putih,46880,17538,7554,367
112,naan bawang putih,36871,9489,5087,309
113,roti india,47381,18184,10799,789
114,roti naan garlic,12940,4350,1278,66
115,roti tandoor,41284,10140,5708,520
116,bánh mì naan tỏi,12079,3080,2032,148
117,naan bread,39215,11771,7966,435
118,garlic roti,25985,4905,2298,189
119,tandoori naan,40293,11710,4975,264
120,indian bread,16343,3798,2376,195
121,garlic flatbread,45306,7536,2361,202
122,naan dengan bawang putih,15374,6009,3948,296
123,naan viet,31698,4973,1334,124
124,naan goreng,30782,12144,6247,285
125,hot wings,25519,5091,3398,311
126,spicy wings,23594,5811,2547,191
127,chicken wings spicy,27972,10577,5687,401
128,wings pedas,19819,5022,2769,200
129,hot wings 6 pcs,653,245,144,11
130,ayam pedas,25848,7425,4137,235
131,buffalo wings,32170,5333,1647,57
132,chili wings,37094,13266,7736,731
133,wings goreng pedas,18697,2950,819,58
134,cánh gà cay,40687,14656,6633,557
135,hot chicken wings,40809,15524,10047,625
136,sayap ayam pedas,19117,4218,2078,120
137,wings goreng,23887,6314,4035,172
138,thai chili wings,20954,3978,1578,130
139,wings panas,2529,385,145,10
140,sambal wings,32346,8843,4931,277
141,wings nyam nyam,36552,14316,6650,361
142,ayam goreng pedas,8697,3079,1970,166
143,double patty burger,12661,4301,1485,109
144,cheeseburger,22451,7973,2530,245
145,double cheeseburger,2561,512,233,17
146,burger double,14138,2955,1494,68
147,double beef burger,12288,3988,2108,158
148,burger daging dua,29375,8484,5624,479
149,burger dua lapis,45554,16916,8166,397
150,burger dua daging,11448,2113,1437,86
151,burger keju dua,3162,1218,576,49
152,burger besar,20339,4215,1413,77
153,double meat burger,2879,834,401,22
154,bánh mì kẹp thịt đôi,37600,6702,2285,103
155,hamburger double,18657,2911,1068,65
156,burger besar,7798,2291,579,33
157,deluxe burger,20785,6094,2927,236
158,burger ganda,47351,12564,7153,351
159,burger sapi dua,14952,4290,2678,160
160,burger double stack,16559,5033,2597,154
161,mushroom & herb crepe,9200,2009,679,26
162,savory crepe,48444,9181,3793,323
163,mushroom crepe,38958,6250,3754,351
164,crepe jamur,31177,6476,2024,188
165,crepe herba,37430,6080,1991,194
166,crepe gurih,9259,2610,1385,89
167,bánh crepe nấm,24488,7241,3761,271
168,jamur dan herba,10124,1999,826,65
169,crepe savory,14091,4951,2935,260
170,french crepe,43238,13474,9007,695
171,herb crepe,45343,8057,5188,238
172,crepe sayur,49466,11493,5778,380
173,herbed crepe,18848,4363,2838,189
174,jamur herb crepe,29898,11082,3265,148
175,breakfast crepe,13814,5521,1514,71
176,roti crepe isi,44278,12174,3191,196
177,crepe isi jamur,16435,3419,2157,107
178,crepe gulung,47014,12993,8430,800
179,crepe savory jamur,24071,4403,1347,65
180,nutella & banana crepe,16348,4060,2180,147
181,banana nutella crepe,30354,9071,4479,329
182,crepe pisang nutella,39892,15847,8299,552
183,crepe nutella dan pisang,4670,756,357,33
184,crepe manis,31341,5360,2889,246
185,sweet crepe,42792,11360,5761,574
186,dessert crepe,3407,653,264,21
187,crepe coklat pisang,46172,9211,3651,364
188,bánh crepe chuối nutella,35153,7790,4270,265
189,nutella banana,25599,8973,4334,272
190,crepe snack,32130,8316,3865,280
191,nutella crepes,2120,669,406,22
192,crepe coklat,30481,10073,6150,311
193,crepe buah,49683,14079,6158,435
194,crepe pisang,44735,12038,3111,179
195,crepe sarapan,20583,3281,986,58
196,nutella dessert,3191,587,387,22
197,lemonade,12872,4024,2512,90
198,fresh lemonade,2258,582,267,18
199,lemon drink,34597,7342,4621,271
200,air lemon,33012,6773,2043,175
201,jus lemon,12810,2126,583,45
202,nước chanh,13262,2124,565,50
203,lemon juice,26547,4190,1654,163
204,minuman lemon,28496,10227,5152,434
205,lemon soda,20006,6194,2588,229
206,limonada,14243,2577,975,82
207,ice lemonade,49402,16742,8982,790
208,lemon ais,19571,7507,4551,359
209,soda lemon,35887,13981,5887,408
210,limeade,649,229,84,3
211,lemon honey,35405,9760,6289,290
212,lemon refreshment,20858,4169,1774,121
213,lemon minuman,47909,14039,5662,196
214,lemon cooler,3774,952,658,26
215,chilled lemonade,40534,14430,8861,637
216,lemon sirap,21074,4135,2015,86
217,chili cheese fries,30042,5932,3490,136
218,cheesy fries,11487,2427,1165,108
219,fries with cheese,6413,1127,684,67
220,kentang keju pedas,39642,10615,5333,402
221,kentang chili keju,819,313,200,19
222,kentang goreng keju,8154,2095,698,55
223,french fries with chili,11122,2811,1394,100
224,loaded fries,47595,18585,10892,833
225,chili fries,21921,6771,3609,146
226,spicy cheese fries,10090,3991,1760,157
227,chili keju goreng,5745,1580,442,16
228,kentang pedas,40235,12074,8071,534
229,fries topping keju,42423,8428,4584,290
230,hot cheese fries,31419,8125,5417,270
231,chili keju fries,23807,6612,3005,245
232,chili cheese kentang,4819,1567,545,41
233,snack fries,33366,11809,3769,285
234,beef bulgogi rice bowl,7283,2687,938,49
235,bulgogi beef,41701,9541,2903,183
236,bulgogi bowl,19846,6657,2354,81
237,korean beef bowl,11642,2473,1267,118
238,daging bulgogi,36421,7001,2414,183
239,nasi daging korea,39257,15493,7804,511
240,rice bowl bulgogi,43648,9489,4110,353
241,bulgogi daging,12056,2534,1117,106
242,cơm thịt bò bulgogi,22835,5062,2972,294
243,beef rice bowl,23163,8940,2640,174
244,korean rice bowl,27427,8924,4375,309
245,bulgogi rice,47041,11374,5920,452
246,mangkuk nasi bulgogi,36804,7066,2654,101
247,daging korea,6475,1394,545,47
248,bulgogi vietnam,31491,8112,2390,128
249,nasi bulgogi sapi,31679,5988,3089,251
250,bulgogi ricebox,33392,5918,3108,196
251,rice box bulgogi,41652,8213,4819,312
252,bucket of wings,43775,16684,5028,499
253,chicken wings bucket,14118,4502,2735,255
254,10 pcs wings,26072,4269,1751,86
255,bucket wings 10,11948,2558,1568,98
256,wings ayam 10 pcs,44929,9949,3151,240
257,chicken bucket,14127,2562,890,68
258,sayap ayam 10,37306,7595,2396,172
259,wings goreng banyak,25098,7020,2114,206
260,cánh gà 10 cái,33141,7231,2331,109
261,ayam goreng bucket,41313,15529,4279,161
262,wings set besar,11400,3378,1585,109
263,fried wings bucket,44864,8479,3338,233
264,spicy wings bucket,16443,3033,1869,145
265,wings party pack,49514,14967,10116,990
266,wings family pack,23543,5693,1608,159
267,wings combo,8989,2338,855,35
268,wings 10 keping,18728,4583,1650,89
269,beef shawarma plate,33163,7935,3945,155
270,shawarma beef,23319,8080,4164,267
271,shawarma sapi,13947,5311,2631,90
272,beef wrap plate,23786,7215,3410,265
273,nasi daging shawarma,45100,10316,4471,306
274,shawarma platter,9195,2640,1819,83
275,shawarma dish,34934,11206,7505,315
276,shawarma dengan nasi,46608,13033,6787,513
277,daging shawarma,47038,13088,8563,310
278,bánh mì thịt bò shawarma,9325,1411,356,20
279,middle eastern beef plate,18758,3285,1905,141
280,shawarma rice plate,7199,2752,1800,141
281,beef kebab rice,35057,12593,5904,513
282,shawarma meal,37298,14774,9894,980
283,plate of beef shawarma,33377,7153,4510,433
284,shawarma sapi nasi,24137,5025,1442,86
285,classic cheese pizza,22090,7473,3812,335
286,cheese pizza,10261,1782,728,66
287,pizza keju,31918,11787,6215,467
288,pizza klasik,15148,2552,704,57
289,pizza margherita,45173,11653,6031,437
290,keju pizza,13933,2242,732,72
291,pizza keju klasik,37780,7450,1996,196
292,classic pizza,33074,10437,3812,323
293,pizza biasa,34236,12998,5497,224
294,bánh pizza phô mai,43911,8898,4555,449
295,pizza simple,5503,839,537,47
296,pizza mozarella,1543,578,324,30
297,pizza base cheese,10086,3220,944,41
298,cheese lovers pizza,25662,4731,3251,300
299,pizza margherita klasik,34611,9139,5728,537
300,pizza topping keju,1888,550,138,10
301,spaghetti bolognese,27428,6127,4201,237
302,pasta bolognese,25484,8646,3465,340
303,spaghetti daging,35500,11297,4619,289
304,spaghetti meat sauce,46400,13398,8779,415
305,spaghetti sauce merah,2543,766,514,44
306,pasta merah,29198,4518,1741,128
307,mì Ý sốt bò băm,23517,7778,5306,473
308,spaghetti klasik,11846,2968,1687,157
309,spageti bolognese,48824,16405,4641,422
310,spageti daging cincang,39137,11814,3564,124
311,spaghetti klasik daging,34877,7057,4588,247
312,spaghetti bolognese asli,28285,9195,6422,517
313,pasta beef tomato,1666,265,92,4
314,spaghetti tomato meat,9229,1590,982,55
315,classic cheeseburger,19195,6997,2348,206
316,cheeseburger,42956,16979,9465,927
317,burger keju,5874,2240,1009,90
318,burger klasik,28672,9920,5488,431
319,burger daging keju,15025,2557,1387,128
320,burger cheese,40524,11597,6606,332
321,bánh mì kẹp thịt phô mai,33859,8073,3414,321
322,keju burger,40446,10523,3663,175
323,cheeseburger klasik,39316,7870,2633,233
324,burger biasa,18387,5672,1499,96
325,burger sapi keju,8305,3165,939,54
326,burger keju sederhana,12273,3213,877,31
327,burger dengan keju,31439,10846,5125,247
328,burger classic,25780,9424,3962,281
329,cheese beef burger,3957,1502,1006,99
330,cheeseburger simple,5087,1895,1002,52
331,pancit palabok,35850,10920,4753,436
332,palabok,18553,5479,2314,133
333,filipino noodle,14116,2862,1948,192
334,bihon palabok,15166,2383,1015,96
335,mie palabok,20844,4799,1417,77
336,mie filipina,3749,1461,748,36
337,mie kuah palabok,28607,9463,5842,389
338,mi xào kiểu philippines,30620,7358,1968,165
339,pancit special,45838,10065,4065,318
340,pancit mie,26038,6788,3146,144
341,mie bihon saus oranye,34716,9294,4517,306
342,palabok noodles,14509,2669,872,47
343,mie nasi filipina,39165,13074,6392,449
344,pancit mie kuah,21178,5414,2947,192
345,filipino rice noodles,1889,394,249,15
346,bihun palabok,38403,10758,6734,438
347,mie pancit,47402,12439,6850,263
348,pancit kuah,32371,8562,3534,250
349,beef striploin bowl,11401,4386,1739,160
350,striploin beef bowl,38850,6278,3531,328
351,beef rice bowl,29742,11466,4652,203
352,steak rice bowl,17030,4240,1817,155
353,daging striploin,44435,14499,7056,623
354,nasi daging panggang,28276,4777,2362,191
355,mangkuk daging,40387,15408,6514,476
356,beef steak bowl,14773,2396,1022,91
357,steak bowl,18652,7169,2727,123
358,cơm thịt bò nướng,28893,7324,4732,352
359,rice bowl steak,34870,13618,6708,403
360,striploin bowl,28227,6900,2047,110
361,nasi sapi striploin,42463,13964,7317,489
362,striploin grilled rice,19039,5276,2615,218
363,beef grilled bowl,42568,13312,5265,266
364,daging sapi bowl,15929,3689,2119,149
365,mangkuk nasi sapi,13214,4315,2667,140
366,celery & ranch,24776,9185,5095,496
367,celery sticks with ranch,43462,16487,5493,247
368,sayur celery ranch,47623,13932,6322,311
369,celery and dip,21402,6181,2753,129
370,snack celery ranch,27836,7030,2063,162
371,ranch dipping sauce,29074,10213,4678,163
